,Genus,Obs_Per,Sample,Kit,Type
69,Collinsella,0,SC253851.PC04924.E11,Qiagen DSP Virus,Art.Col
70,Enterococcus,0.022071858,SC253851.PC04924.E11,Qiagen DSP Virus,Art.Col
71,Escherichia-Shigella,0.123157076,SC253851.PC04924.E11,Qiagen DSP Virus,Art.Col
72,Lachnoclostridium,NA,SC253851.PC04924.E11,Qiagen DSP Virus,Art.Col
73,Parabacteroides,0.147596091,SC253851.PC04924.E11,Qiagen DSP Virus,Art.Col
74,Propionibacterium,7.57E-05,SC253851.PC04924.E11,Qiagen DSP Virus,Art.Col
75,Ralstonia,0.043224956,SC253851.PC04924.E11,Qiagen DSP Virus,Art.Col
76,Fusobacterium,0,SC253851.PC04924.E11,Qiagen DSP Virus,Art.Col
77,Subdoligranulum,0.009922872,SC249383.PC04924.E02,Zymo MagBead DNone Kit,Art.Col
78,Pyramidobacter,0.005368843,SC249383.PC04924.E02,Zymo MagBead DNone Kit,Art.Col
79,Bilophila,0.025571765,SC249383.PC04924.E02,Zymo MagBead DNone Kit,Art.Col
80,Alistipes,0.010402831,SC249383.PC04924.E02,Zymo MagBead DNone Kit,Art.Col
81,Coprobacillus,0.027759485,SC249383.PC04924.E02,Zymo MagBead DNone Kit,Art.Col
82,Lactobacillus,0.01788126,SC249383.PC04924.E02,Zymo MagBead DNone Kit,Art.Col
83,Paenibacillus,0.03825161,SC249383.PC04924.E02,Zymo MagBead DNone Kit,Art.Col
84,Pediococcus,0.018115659,SC249383.PC04924.E02,Zymo MagBead DNone Kit,Art.Col
85,Anaerostipes,0.009699635,SC249383.PC04924.E02,Zymo MagBead DNone Kit,Art.Col
86,Bacteroides,0.11542454,SC249383.PC04924.E02,Zymo MagBead DNone Kit,Art.Col
87,Bifidobacterium,0.003995937,SC249383.PC04924.E02,Zymo MagBead DNone Kit,Art.Col
88,Collinsella,0.000189751,SC249383.PC04924.E02,Zymo MagBead DNone Kit,Art.Col
89,Enterococcus,0.013260261,SC249383.PC04924.E02,Zymo MagBead DNone Kit,Art.Col
90,Escherichia-Shigella,0.128963847,SC249383.PC04924.E02,Zymo MagBead DNone Kit,Art.Col
91,Lachnoclostridium,NA,SC249383.PC04924.E02,Zymo MagBead DNone Kit,Art.Col
92,Parabacteroides,0.135616301,SC249383.PC04924.E02,Zymo MagBead DNone Kit,Art.Col
93,Propionibacterium,0,SC249383.PC04924.E02,Zymo MagBead DNone Kit,Art.Col
94,Ralstonia,0.029154714,SC249383.PC04924.E02,Zymo MagBead DNone Kit,Art.Col
95,Fusobacterium,0,SC249383.PC04924.E02,Zymo MagBead DNone Kit,Art.Col
96,Subdoligranulum,0.007798486,SC249388.PC04924.A03,Zymo MagBead DNone Kit,Art.Col
97,Pyramidobacter,0.00422365,SC249388.PC04924.A03,Zymo MagBead DNone Kit,Art.Col
98,Bilophila,0.024044272,SC249388.PC04924.A03,Zymo MagBead DNone Kit,Art.Col
99,Alistipes,0.006768017,SC249388.PC04924.A03,Zymo MagBead DNone Kit,Art.Col
100,Coprobacillus,0.040773488,SC249388.PC04924.A03,Zymo MagBead DNone Kit,Art.Col
101,Lactobacillus,0.015520641,SC249388.PC04924.A03,Zymo MagBead DNone Kit,Art.Col
102,Paenibacillus,0.039577635,SC249388.PC04924.A03,Zymo MagBead DNone Kit,Art.Col
103,Pediococcus,0.02015139,SC249388.PC04924.A03,Zymo MagBead DNone Kit,Art.Col
104,Anaerostipes,0.010381019,SC249388.PC04924.A03,Zymo MagBead DNone Kit,Art.Col
105,Bacteroides,0.106812544,SC249388.PC04924.A03,Zymo MagBead DNone Kit,Art.Col
106,Bifidobacterium,0.006310031,SC249388.PC04924.A03,Zymo MagBead DNone Kit,Art.Col
107,Collinsella,0,SC249388.PC04924.A03,Zymo MagBead DNone Kit,Art.Col
108,Enterococcus,0.014795496,SC249388.PC04924.A03,Zymo MagBead DNone Kit,Art.Col
109,Escherichia-Shigella,0.174352777,SC249388.PC04924.A03,Zymo MagBead DNone Kit,Art.Col
110,Lachnoclostridium,NA,SC249388.PC04924.A03,Zymo MagBead DNone Kit,Art.Col
111,Parabacteroides,0.138668024,SC249388.PC04924.A03,Zymo MagBead DNone Kit,Art.Col
112,Propionibacterium,0,SC249388.PC04924.A03,Zymo MagBead DNone Kit,Art.Col
113,Ralstonia,0.029514662,SC249388.PC04924.A03,Zymo MagBead DNone Kit,Art.Col
114,Fusobacterium,0,SC249388.PC04924.A03,Zymo MagBead DNone Kit,Art.Col
115,Subdoligranulum,0.012480288,SC249397.PC04924.B04,Zymo MagBead DNone Kit,Art.Col
116,Pyramidobacter,0.004009912,SC249397.PC04924.B04,Zymo MagBead DNone Kit,Art.Col
117,Bilophila,0.018900653,SC249397.PC04924.B04,Zymo MagBead DNone Kit,Art.Col
118,Alistipes,0.018956972,SC249397.PC04924.B04,Zymo MagBead DNone Kit,Art.Col
119,Coprobacillus,0.02141248,SC249397.PC04924.B04,Zymo MagBead DNone Kit,Art.Col
120,Lactobacillus,0.017380041,SC249397.PC04924.B04,Zymo MagBead DNone Kit,Art.Col
121,Paenibacillus,0.043500788,SC249397.PC04924.B04,Zymo MagBead DNone Kit,Art.Col
122,Pediococcus,0.016625366,SC249397.PC04924.B04,Zymo MagBead DNone Kit,Art.Col
123,Anaerostipes,0.019238567,SC249397.PC04924.B04,Zymo MagBead DNone Kit,Art.Col
124,Bacteroides,0.141552151,SC249397.PC04924.B04,Zymo MagBead DNone Kit,Art.Col
125,Bifidobacterium,0.010419013,SC249397.PC04924.B04,Zymo MagBead DNone Kit,Art.Col
126,Collinsella,0.000214012,SC249397.PC04924.B04,Zymo MagBead DNone Kit,Art.Col
127,Enterococcus,0.009968461,SC249397.PC04924.B04,Zymo MagBead DNone Kit,Art.Col
128,Escherichia-Shigella,0.11977923,SC249397.PC04924.B04,Zymo MagBead DNone Kit,Art.Col
129,Lachnoclostridium,NA,SC249397.PC04924.B04,Zymo MagBead DNone Kit,Art.Col
130,Parabacteroides,0.116186078,SC249397.PC04924.B04,Zymo MagBead DNone Kit,Art.Col
131,Propionibacterium,0,SC249397.PC04924.B04,Zymo MagBead DNone Kit,Art.Col
