"","Art.Col","Zymo.Ext"
"Qiagen DSPs_Obs",5.5,1.16666666666667
"Zymo Mag Bead_Obs",4.57142857142857,3.07692307692308
"PowerMag Soil_Obs",4,1.71428571428571
"PowerMag MB_Obs",8.66666666666667,2.625
"Qiagen QIAmp_Obs",6.4,1.33333333333333
