"","Genus","Obs_Per","Sample","Kit","Type"
"66","Anaerostipes",8.77331508483796e-05,"SC253851.PC04924.E11","Qiagen DSP Virus","Art.Col"
"67","Bacteroides",0.498561176326087,"SC253851.PC04924.E11","Qiagen DSP Virus","Art.Col"
"68","Bifidobacterium",0,"SC253851.PC04924.E11","Qiagen DSP Virus","Art.Col"
"69","Collinsella",0,"SC253851.PC04924.E11","Qiagen DSP Virus","Art.Col"
"70","Enterococcus",0,"SC253851.PC04924.E11","Qiagen DSP Virus","Art.Col"
"71","Escherichia-Shigella",NA,"SC253851.PC04924.E11","Qiagen DSP Virus","Art.Col"
"72","Lachnoclostridium",NA,"SC253851.PC04924.E11","Qiagen DSP Virus","Art.Col"
"73","Parabacteroides",0.00346545945851099,"SC253851.PC04924.E11","Qiagen DSP Virus","Art.Col"
"74","Propionibacterium",0,"SC253851.PC04924.E11","Qiagen DSP Virus","Art.Col"
"75","Ralstonia",0,"SC253851.PC04924.E11","Qiagen DSP Virus","Art.Col"
"76","Fusobacterium",0,"SC253851.PC04924.E11","Qiagen DSP Virus","Art.Col"
"77","Subdoligranulum",NA,"SC249383.PC04924.E02","Zymo MagBead DNone Kit","Art.Col"
"78","Pyramidobacter",0,"SC249383.PC04924.E02","Zymo MagBead DNone Kit","Art.Col"
"79","Bilophila",0,"SC249383.PC04924.E02","Zymo MagBead DNone Kit","Art.Col"
"80","Alistipes",0,"SC249383.PC04924.E02","Zymo MagBead DNone Kit","Art.Col"
"81","Coprobacillus",0,"SC249383.PC04924.E02","Zymo MagBead DNone Kit","Art.Col"
"82","Lactobacillus",0.321895424836601,"SC249383.PC04924.E02","Zymo MagBead DNone Kit","Art.Col"
"83","Paenibacillus",0,"SC249383.PC04924.E02","Zymo MagBead DNone Kit","Art.Col"
"84","Pediococcus",0,"SC249383.PC04924.E02","Zymo MagBead DNone Kit","Art.Col"
"85","Anaerostipes",0,"SC249383.PC04924.E02","Zymo MagBead DNone Kit","Art.Col"
"86","Bacteroides",0,"SC249383.PC04924.E02","Zymo MagBead DNone Kit","Art.Col"
"87","Bifidobacterium",0,"SC249383.PC04924.E02","Zymo MagBead DNone Kit","Art.Col"
"88","Collinsella",0,"SC249383.PC04924.E02","Zymo MagBead DNone Kit","Art.Col"
"89","Enterococcus",0.0866013071895425,"SC249383.PC04924.E02","Zymo MagBead DNone Kit","Art.Col"
"90","Escherichia-Shigella",NA,"SC249383.PC04924.E02","Zymo MagBead DNone Kit","Art.Col"
"91","Lachnoclostridium",NA,"SC249383.PC04924.E02","Zymo MagBead DNone Kit","Art.Col"
"92","Parabacteroides",0.0130718954248366,"SC249383.PC04924.E02","Zymo MagBead DNone Kit","Art.Col"
"93","Propionibacterium",0,"SC249383.PC04924.E02","Zymo MagBead DNone Kit","Art.Col"
"94","Ralstonia",0,"SC249383.PC04924.E02","Zymo MagBead DNone Kit","Art.Col"
"95","Fusobacterium",0,"SC249383.PC04924.E02","Zymo MagBead DNone Kit","Art.Col"
"96","Subdoligranulum",NA,"SC249388.PC04924.A03","Zymo MagBead DNone Kit","Art.Col"
"97","Pyramidobacter",NA,"SC249388.PC04924.A03","Zymo MagBead DNone Kit","Art.Col"
"98","Bilophila",NA,"SC249388.PC04924.A03","Zymo MagBead DNone Kit","Art.Col"
"99","Alistipes",NA,"SC249388.PC04924.A03","Zymo MagBead DNone Kit","Art.Col"
"100","Coprobacillus",NA,"SC249388.PC04924.A03","Zymo MagBead DNone Kit","Art.Col"
"101","Lactobacillus",NA,"SC249388.PC04924.A03","Zymo MagBead DNone Kit","Art.Col"
"102","Paenibacillus",NA,"SC249388.PC04924.A03","Zymo MagBead DNone Kit","Art.Col"
"103","Pediococcus",NA,"SC249388.PC04924.A03","Zymo MagBead DNone Kit","Art.Col"
"104","Anaerostipes",NA,"SC249388.PC04924.A03","Zymo MagBead DNone Kit","Art.Col"
"105","Bacteroides",NA,"SC249388.PC04924.A03","Zymo MagBead DNone Kit","Art.Col"
"106","Bifidobacterium",NA,"SC249388.PC04924.A03","Zymo MagBead DNone Kit","Art.Col"
"107","Collinsella",NA,"SC249388.PC04924.A03","Zymo MagBead DNone Kit","Art.Col"
"108","Enterococcus",NA,"SC249388.PC04924.A03","Zymo MagBead DNone Kit","Art.Col"
"109","Escherichia-Shigella",NA,"SC249388.PC04924.A03","Zymo MagBead DNone Kit","Art.Col"
"110","Lachnoclostridium",NA,"SC249388.PC04924.A03","Zymo MagBead DNone Kit","Art.Col"
"111","Parabacteroides",NA,"SC249388.PC04924.A03","Zymo MagBead DNone Kit","Art.Col"
"112","Propionibacterium",NA,"SC249388.PC04924.A03","Zymo MagBead DNone Kit","Art.Col"
"113","Ralstonia",NA,"SC249388.PC04924.A03","Zymo MagBead DNone Kit","Art.Col"
"114","Fusobacterium",NA,"SC249388.PC04924.A03","Zymo MagBead DNone Kit","Art.Col"
"115","Subdoligranulum",NA,"SC249397.PC04924.B04","Zymo MagBead DNone Kit","Art.Col"
"116","Pyramidobacter",0,"SC249397.PC04924.B04","Zymo MagBead DNone Kit","Art.Col"
"117","Bilophila",0.00184867291694177,"SC249397.PC04924.B04","Zymo MagBead DNone Kit","Art.Col"
"118","Alistipes",0,"SC249397.PC04924.B04","Zymo MagBead DNone Kit","Art.Col"
"119","Coprobacillus",0,"SC249397.PC04924.B04","Zymo MagBead DNone Kit","Art.Col"
"120","Lactobacillus",0.000765878779875875,"SC249397.PC04924.B04","Zymo MagBead DNone Kit","Art.Col"
"121","Paenibacillus",0,"SC249397.PC04924.B04","Zymo MagBead DNone Kit","Art.Col"
"122","Pediococcus",0,"SC249397.PC04924.B04","Zymo MagBead DNone Kit","Art.Col"
"123","Anaerostipes",0.00163739601214842,"SC249397.PC04924.B04","Zymo MagBead DNone Kit","Art.Col"
"124","Bacteroides",0.226607685197412,"SC249397.PC04924.B04","Zymo MagBead DNone Kit","Art.Col"
"125","Bifidobacterium",0,"SC249397.PC04924.B04","Zymo MagBead DNone Kit","Art.Col"
"126","Collinsella",0,"SC249397.PC04924.B04","Zymo MagBead DNone Kit","Art.Col"
"127","Enterococcus",0.000409349003037105,"SC249397.PC04924.B04","Zymo MagBead DNone Kit","Art.Col"
"128","Escherichia-Shigella",NA,"SC249397.PC04924.B04","Zymo MagBead DNone Kit","Art.Col"
"129","Lachnoclostridium",NA,"SC249397.PC04924.B04","Zymo MagBead DNone Kit","Art.Col"
"130","Parabacteroides",0.0176152119371451,"SC249397.PC04924.B04","Zymo MagBead DNone Kit","Art.Col"
"131","Propionibacterium",0,"SC249397.PC04924.B04","Zymo MagBead DNone Kit","Art.Col"
"132","Ralstonia",0,"SC249397.PC04924.B04","Zymo MagBead DNone Kit","Art.Col"
"133","Fusobacterium",0.000250891324442097,"SC249397.PC04924.B04","Zymo MagBead DNone Kit","Art.Col"
"134","Subdoligranulum",NA,"SC249400.PC04924.E04","Zymo MagBead DNone Kit","Art.Col"
"135","Pyramidobacter",0,"SC249400.PC04924.E04","Zymo MagBead DNone Kit","Art.Col"
"136","Bilophila",0.00162059497512335,"SC249400.PC04924.E04","Zymo MagBead DNone Kit","Art.Col"
"137","Alistipes",0,"SC249400.PC04924.E04","Zymo MagBead DNone Kit","Art.Col"
"138","Coprobacillus",0,"SC249400.PC04924.E04","Zymo MagBead DNone Kit","Art.Col"
"139","Lactobacillus",0.000154833914820702,"SC249400.PC04924.E04","Zymo MagBead DNone Kit","Art.Col"
"140","Paenibacillus",0,"SC249400.PC04924.E04","Zymo MagBead DNone Kit","Art.Col"
"141","Pediococcus",0,"SC249400.PC04924.E04","Zymo MagBead DNone Kit","Art.Col"
"142","Anaerostipes",0.00122834905757757,"SC249400.PC04924.E04","Zymo MagBead DNone Kit","Art.Col"
"143","Bacteroides",0.275914036210492,"SC249400.PC04924.E04","Zymo MagBead DNone Kit","Art.Col"
"144","Bifidobacterium",0,"SC249400.PC04924.E04","Zymo MagBead DNone Kit","Art.Col"
"145","Collinsella",0,"SC249400.PC04924.E04","Zymo MagBead DNone Kit","Art.Col"
"146","Enterococcus",0.000123867131856562,"SC249400.PC04924.E04","Zymo MagBead DNone Kit","Art.Col"
"147","Escherichia-Shigella",NA,"SC249400.PC04924.E04","Zymo MagBead DNone Kit","Art.Col"
"148","Lachnoclostridium",NA,"SC249400.PC04924.E04","Zymo MagBead DNone Kit","Art.Col"
"149","Parabacteroides",0.0197258407481575,"SC249400.PC04924.E04","Zymo MagBead DNone Kit","Art.Col"
"150","Propionibacterium",0,"SC249400.PC04924.E04","Zymo MagBead DNone Kit","Art.Col"
"151","Ralstonia",0,"SC249400.PC04924.E04","Zymo MagBead DNone Kit","Art.Col"
"152","Fusobacterium",0.000165156175808749,"SC249400.PC04924.E04","Zymo MagBead DNone Kit","Art.Col"
"153","Subdoligranulum",NA,"SC304093.PC07578.A04","Zymo MagBead DNone Kit","Art.Col"
"154","Pyramidobacter",0,"SC304093.PC07578.A04","Zymo MagBead DNone Kit","Art.Col"
"155","Bilophila",0,"SC304093.PC07578.A04","Zymo MagBead DNone Kit","Art.Col"
"156","Alistipes",0,"SC304093.PC07578.A04","Zymo MagBead DNone Kit","Art.Col"
"157","Coprobacillus",0,"SC304093.PC07578.A04","Zymo MagBead DNone Kit","Art.Col"
"158","Lactobacillus",0,"SC304093.PC07578.A04","Zymo MagBead DNone Kit","Art.Col"
