"","SC249358.PC04924.A01","SC249363.PC04924.F01","SC249383.PC04924.E02","SC249388.PC04924.A03","SC249397.PC04924.B04","SC249400.PC04924.E04","SC249409.PC04924.D05","SC249413.PC04924.H05","SC249427.PC04924.E07","SC249428.PC04924.F07","SC249434.PC04924.C08","SC249439.PC04924.H08","SC249443.PC04924.D09","SC249446.PC04924.F09","SC253848.PC04924.C11","SC253851.PC04924.E11","SC253185.PC04925.C06","SC253192.PC04925.B07","SC253195.PC04925.E07","SC253204.PC04925.A09","SC249439.PC07578.G07","SC249443.PC07578.E05","SC253195.PC07578.E07","SC304093.PC07578.A04","SC304926.PC07578.E06","SC304936.PC07578.B11","SC284724.PC04924.A12","SC284730.PC04925.A12","SC284725.PC04924.B12","SC284731.PC04925.B12","SC326764.PC07578.B12","SC284726.PC04924.C12","SC284732.PC04925.C12","SC326765.PC07578.C12","SC284727.PC04924.D12","SC284733.PC04925.D12","SC326766.PC07578.D12","SC249362.PC04924.E01","SC284728.PC04924.E12","SC284734.PC04925.E12","SC326767.PC07578.E12","SC284729.PC04924.F12","SC284735.PC04925.F12","SC326768.PC07578.F12","SC249368.PC04924.B02","SC249390.PC04924.C03","SC249391.PC04924.D03","SC249395.PC04924.H03","SC249404.PC04924.H04","SC249408.PC04924.C05","SC249412.PC04924.G05","SC249420.PC04924.G06","SC249425.PC04924.C07","SC249432.PC04924.A08","SC249437.PC04924.F08","SC249442.PC04924.C09","SC249451.PC04924.C10","SC253844.PC04924.G10","SC253854.PC04924.H11","SC249391.PC04925.H01","SC249408.PC04925.E02","SC249432.PC04925.B04","SC249437.PC04925.F04","SC253181.PC04925.G05","SC253189.PC04925.F06","SC253194.PC04925.D07","SC253196.PC04925.F07","SC261522.PC04925.F11","SC249362.PC07578.H08","SC249368.PC07578.C10","SC249408.PC07578.E02","SC249420.PC07578.H07","SC249437.PC07578.F04","SC249451.PC07578.F06","SC253181.PC07578.G05","SC253196.PC07578.F07","SC304092.PC07578.A03","SC304097.PC07578.A09","SC304924.PC07578.A.11.PC07578.A11","SC304924.PC07578.B.07.PC07578.B07","SC304927.PC07578.B02","SC304934.PC07578.C.05.PC07578.C05","SC304934.PC07578.D.02.PC07578.D02","SC304937.PC07578.D04"
"Other",0.000115968920329352,3.69334182801954e-05,0.00041338391207081,0.000192769395229834,0.000418832688659489,0.000314590878399116,1.48392170829067e-05,1.61168146727481e-05,6.89270131857376e-06,2.87667686288799e-05,9.08322328658967e-05,0.00125977223318024,0.000377570865777119,0.00292161911449799,3.67301363422661e-05,3.6985531260171e-05,2.51679963758085e-05,6.8689574639809e-05,6.948546016746e-05,0.000354188276368052,0.0012367966199347,0.000578449293134964,0.000556725313157989,2.91813181201395e-05,0.000158914802596032,0.000186209464958137,0.00486400777098451,0.00644078987259902,0.000330360092500826,0.00044080207986614,0.000315107243885845,0.00255510318685947,0.00265247826223436,0.00201400086776886,0.00340949202579983,0.00345723597287061,0.0025931339202123,0.00139753767172125,0.000963956075734816,0.00133007022770802,0.000875500921767231,0.0012553890880259,0.00122264745044509,0.0014850656775525,0.00105157638179102,0.00101465496501009,0.00115093423489848,0.000317980578724653,0.00018747154449771,0.000915974596971177,0.00072258942044078,0.000926543361527393,0.000711673093791894,0.00161835969644327,0.00125816083176324,0.00140863965656024,0.000867360064684479,0.000708582974364731,0.000809309854045154,0.00115618074959052,0.000737436812369908,0.00131969015970164,0.00140487491595838,0.000802377414561664,0.00145633638722661,0.000805600093856322,0.000640056399172565,0.00164645897509826,0.0010650565360838,0.000572078129527404,0.000742404106136291,0.000637322975157821,0.00177341106445432,0.000927749166919115,0.000875179340028694,0.000655137243807836,0.000672876587948213,0.000303965226378102,0.00125507720103992,0.000311588539671351,0.00139423771753084,0.000795156113218559,0.000975321677195369,0.00117536240340772
"Oxalobacter",2.57708711843004e-05,0,0.000121583503550238,7.88602071394774e-05,9.85488679198798e-05,0.000145786016819103,0,0,0,0,6.98709483583821e-06,7.19869847531566e-05,7.12397859956829e-06,0.000173389858427181,0,0,0,0,8.68568252093249e-06,0.000101196650390872,0.00011522949875168,3.08506289671981e-05,1.4275008029692e-05,7.29532953003487e-06,1.90697763115239e-05,6.89664685030138e-06,0,0,0,0,0,0,0,0,8.02233417835253e-06,7.34020376405649e-06,0,0,0,0,7.11789367290431e-06,0,8.37429760578832e-06,0,0,0,8.99167371014441e-06,1.6306696344854e-05,0,0,2.83368400172855e-05,0,0,0,0,0,7.35050902274983e-06,7.01567301351219e-06,0,0,1.18941421349985e-05,0,0,0,0,0,9.27617969815311e-06,3.79368427441995e-05,1.60158877606586e-05,7.42958609775849e-06,0,0,6.79467840787096e-06,0,0,0,1.62138936854991e-05,0,0,0,0,0,8.94790529537035e-06,8.3359035702675e-06
"Paenibacillus",0.0520829306634711,0.0529532884592301,0.0575981584151996,0.0567267756689974,0.0652065009403204,0.061951384199865,0.0525901853418214,0.066788080003868,0.061255436618165,0.0499103435711067,0.031309171959391,0.0283844680881697,0.0210869766547221,0.019124901384518,0.0373839327691584,0.049730745332426,0.0576850476933531,0.0572785190527708,0.0538251745822187,0.0536595238697599,0.0265104666794699,0.021734268107391,0.0421612362156954,0.0753607540452602,0.0466891690027143,0.0578076938992262,1.42848980058282e-05,2.02116837006245e-05,0,1.79919216271894e-05,7.16152827013285e-06,2.10585427488418e-05,7.84756882317858e-06,6.47588703462657e-06,8.02233417835253e-06,2.20206112921695e-05,1.34708255595444e-05,2.85211769739031e-05,4.01648364889507e-05,8.86713485138682e-06,0,8.2591387370125e-06,1.67485952115766e-05,1.39442786624648e-05,3.93112666090101e-05,6.27621627841295e-05,5.39500422608664e-05,2.4460044517281e-05,2.67816492139586e-05,8.72356759020169e-06,2.12526300129641e-05,4.91348752325132e-05,8.27526853246388e-06,9.1432751211484e-06,1.25190132513755e-05,5.03085591628656e-05,2.94020360909993e-05,2.10470190405366e-05,6.97680908659615e-06,1.07053773110233e-05,0,1.9125944343502e-05,2.00696416565482e-05,7.42942050520059e-06,1.76525622694134e-05,3.9106800672637e-05,1.85523593963062e-05,7.58736854883989e-05,0,7.42958609775849e-06,0,0,6.79467840787096e-06,0,0,0,7.2962521584746e-05,7.59913065945256e-06,4.13761714628545e-05,2.55400442353566e-05,0,4.37700612780858e-05,1.78958105907407e-05,8.3359035702675e-06
"Parabacteroides",0.118932570515546,0.152802784779738,0.122126576532763,0.150465275222123,0.103722683485673,0.107382910809649,0.153682351719123,0.135937273357294,0.132760320097049,0.146950243079195,0.100942559093355,0.0857868897303368,0.0793255017061929,0.0524157542025367,0.108618359191349,0.131993963961298,0.133407159456036,0.131746604159154,0.118889622346524,0.109848963999292,0.0839715767236413,0.0719590920659895,0.102109132436387,0.104425346892919,0.107610747725929,0.103491082635623,7.14244900291412e-06,3.36861395010409e-05,3.38830864103411e-05,1.79919216271894e-05,1.43230565402657e-05,4.21170854976836e-05,7.84756882317858e-05,6.47588703462657e-06,0.000112312678496935,0.000102762852696791,3.3677063898861e-05,0.000123591766886914,4.81978037867408e-05,1.77342697027736e-05,1.42357873458086e-05,3.303655494805e-05,5.86200832405182e-05,1.39442786624648e-05,2.94834499567576e-05,0.000292890092992605,0.000215800169043466,0.000269060489690091,7.14177312372229e-05,6.10649731314118e-05,0.000184189460112356,9.82697504650265e-05,3.31010741298555e-05,8.22894760903356e-05,4.38165463798143e-05,0.000100617118325731,4.4103054136499e-05,3.50783650675609e-05,4.88376636061731e-05,0.000267634432775583,4.75765685399941e-05,9.56297217175098e-06,2.00696416565482e-05,4.45765230312036e-05,3.53051245388268e-05,6.25708810762192e-05,0.000166971234566756,0.000629751589553711,3.20317755213171e-05,5.9436688782068e-05,3.66619311672242e-05,4.69606402747868e-05,2.71787136314838e-05,9.46682823386852e-06,2.15208034433286e-05,6.70026726621651e-05,0.000381026501609229,0.000220374789124124,0.000110336457234279,0.000148132256565068,2.55043484914178e-05,0.000116720163408229,0.000178958105907407,0.00010003084284321
"Parasutterella",0,9.23335457004884e-06,4.86334014200953e-05,0,8.21240565998998e-05,0,0,0,6.89270131857376e-06,0,0,0,0,6.93559433708722e-05,0,0,0,0,0,0,7.68196658344536e-06,0,0.000206987616430534,2.18859885901046e-05,0,2.06899405509041e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.92721640465287e-06,8.72356759020169e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pediococcus",0.0237865141031093,0.0181712417938561,0.0156761663910774,0.0159385240874122,0.0140678508955628,0.013358602909582,0.0085251302141299,0.00633390816638999,0.00489381793618737,0.00689443554805489,0.0600960026830444,0.0546453201261212,0.0816265467938534,0.0541063053222017,0.011070463093559,0.021843654762257,0.0152014698109883,0.0344306492882043,0.0289667512073099,0.0393148986768538,0.0565162281544075,0.0769723192731592,0.0247742764355305,0.0115339159869851,0.0387052893202896,0.0380970772010648,1.42848980058282e-05,2.02116837006245e-05,8.47077160258528e-06,0,7.16152827013285e-06,2.10585427488418e-05,7.84756882317858e-06,6.47588703462657e-06,8.02233417835253e-06,2.20206112921695e-05,2.69416511190888e-05,0,1.60659345955803e-05,0,7.11789367290431e-06,1.6518277474025e-05,0,1.39442786624648e-05,0,4.18414418560864e-05,2.69750211304332e-05,8.15334817242701e-06,8.92721640465287e-06,8.72356759020169e-06,7.08421000432137e-06,1.40385357807181e-05,8.27526853246388e-06,3.65731004845936e-05,3.12975331284388e-05,8.3847598604776e-06,2.94020360909993e-05,0,1.39536181731923e-05,0,0,0,1.00348208282741e-05,0,0,1.56427202690548e-05,0,3.79368427441995e-05,8.00794388032929e-06,7.42958609775849e-06,9.16548279180606e-06,6.70866289639812e-06,0,1.8933656467737e-05,0,7.44474140690723e-06,8.10694684274955e-06,7.59913065945256e-06,0,1.5324026541214e-05,8.50144949713926e-06,2.18850306390429e-05,8.94790529537035e-06,0
"Phascolarctobacterium",0.000167510662697953,0,0.000534967415621049,0.000429350016648266,0.000763753726379068,0.000890061997421889,7.41960854145335e-06,0,6.89270131857376e-06,0,2.09612845075146e-05,0.000511107591747412,0.000128231614792229,0.000476822110674747,0,0,0,0,9.55425077302574e-05,0.000303589951172616,0.000514691761090839,8.48392296597947e-05,0.000171300096356304,9.48392838904533e-05,3.81395526230477e-05,4.82765279521097e-05,0,6.73722790020818e-06,0,0,7.16152827013285e-06,7.01951424961393e-06,1.56951376463572e-05,0,8.02233417835253e-06,1.4680407528113e-05,0,0,8.03296729779013e-06,8.86713485138682e-06,0,8.2591387370125e-06,3.34971904231533e-05,0,0,7.32225232481511e-05,6.29417159710108e-05,8.96868298966971e-05,8.92721640465287e-06,8.72356759020169e-06,3.54210500216068e-05,0,0,0,0,0,2.20515270682495e-05,0,1.39536181731923e-05,0.000107053773110233,2.3788284269997e-05,1.9125944343502e-05,1.00348208282741e-05,0,0,2.34640804035822e-05,4.63808984907656e-05,0.000151747370976798,8.00794388032929e-06,0,9.16548279180606e-06,0,2.03840352236129e-05,9.46682823386852e-06,3.58680057388809e-05,7.44474140690723e-06,7.2962521584746e-05,3.03965226378102e-05,4.8272200039997e-05,2.04320353882853e-05,0,6.56550919171287e-05,5.36874317722221e-05,0
"Porphyromonas",0,0,0,8.76224523771971e-06,8.21240565998998e-06,0,7.41960854145335e-06,0,0,0,0,0,0,0,7.34602726845322e-06,0,0,0,0,0,0,7.71265724179952e-06,0,0,0,0,0,0,0,8.9959608135947e-06,7.16152827013285e-06,0.0549417380317282,0.0528455284552846,0.0495664393630318,0.178360555787312,0.17383804574415,0.174022859990975,0,0,0,0,0,0,0,0,0,8.99167371014441e-06,0,8.92721640465287e-06,0,0,7.01926789035904e-06,8.27526853246388e-06,0,6.25950662568776e-06,0,0,0,0,0,0,0,3.01044624848223e-05,0,0,7.82136013452739e-06,0,0,0,1.4859172195517e-05,0,0,0,0,0,0,4.86416810564973e-05,7.59913065945256e-06,0,0,0,1.45900204260286e-05,0,0
"Pseudomonas",2.57708711843004e-05,5.54001274202931e-05,0.000218850306390429,1.75244904754394e-05,0.00223377433951727,1.5345896507274e-05,5.19372597901735e-05,6.44672586909923e-05,0.000144746727690049,0.000105478151639226,2.09612845075146e-05,0.0005974919734512,0.00174537475689423,0.00018205935134854,2.93841090738129e-05,7.3971062520342e-06,8.38933212526951e-06,7.72757714697852e-05,0.000199770697981447,2.5299162597718e-05,0.000683695025926637,0.00237549843047425,5.71000321187681e-05,0.000707646964413383,0.00332449767030899,0.00114484337715003,4.28546940174847e-05,6.73722790020818e-06,1.69415432051706e-05,5.39757648815682e-05,7.16152827013285e-06,0.0105362908886705,0.00998210754308315,0.0100635284518097,0.00267945961556975,0.00233418479696996,0.0025931339202123,0.025802158102391,0.0435788475905115,0.0449386394268284,0.0572421009174965,0.050199045243562,0.0516526676325023,0.052890648966729,0.0353604843148046,0.0288601345202356,0.0268041793299405,0.0361927125374035,0.0479034432273673,0.144950799078791,0.148279599600451,0.115165128277121,0.138842455437679,0.060318185974216,0.0511464286384947,0.0763096994902066,0.073571244808703,0.0492570402278691,0.0463818268076912,0.0272558906338654,0.155289919714541,0.0597590131012719,0.0587739455912015,0.0928008915304606,0.0877332344789846,0.0634546947714208,0.0701186423383394,0.0228531540691058,0.0207966302572152,0.0340943706026137,0.167068420329041,0.140754456229329,0.0606425047902483,0.0777794607694638,0.08993543758967,0.0713504016437989,0.0227318789470697,0.032273507910695,0.0440449345222087,0.111017464282248,0.0361651661608304,0.0802815873942224,0.0393260437731527,0.0448888407258905
"Pyramidobacter",0.00417488113185666,0.00789451815739176,0.00633855331841909,0.00467903895694233,0.00469749603751427,0.00399760604014487,0.004533380818828,0.00867084629393847,0.0073820831121925,0.00803551737033379,0.0265230119968418,0.00665159739119167,0.00892634518525906,0.00312101745168925,0.0270554184297132,0.00696807408941622,0.00480708730777943,0.00504868373602596,0.00598443525692249,0.00566701242188884,0.00764355675052814,0.00979507469708539,0.00416116484065522,0.0107533157272714,0.0124652771156328,0.0101587608104939,0,0,8.47077160258528e-06,0,1.43230565402657e-05,1.40390284992279e-05,0,0,8.02233417835253e-06,0,6.73541277977221e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.01926789035904e-06,0,0,0,1.67695197209552e-05,7.35050902274983e-06,7.01567301351219e-06,6.97680908659615e-06,0,0,0,0,0,8.8262811347067e-06,7.82136013452739e-06,0,0,0,0,0,6.70866289639812e-06,6.79467840787096e-06,0,0,1.48894828138145e-05,0,0,0,1.02160176941426e-05,0,0,0,0
