"","Genus","value","Type"
"107","Pedobacter","NA","PC04924-MSA1000_Diff"
"108","Peptoniphilus","NA","PC04924-MSA1000_Diff"
"109","Phascolarctobacterium","NA","PC04924-MSA1000_Diff"
"110","Phenylobacterium","NA","PC04924-MSA1000_Diff"
"111","Porphyromonas","NA","PC04924-MSA1000_Diff"
"112","Prevotella","NA","PC04924-MSA1000_Diff"
"113","Pseudobutyrivibrio","NA","PC04924-MSA1000_Diff"
"114","Rhizobium","NA","PC04924-MSA1000_Diff"
"115","Roseburia","NA","PC04924-MSA1000_Diff"
"116","Rothia","NA","PC04924-MSA1000_Diff"
"117","Rubellimicrobium","NA","PC04924-MSA1000_Diff"
"118","Ruminococcus","NA","PC04924-MSA1000_Diff"
"119","Salinarimonas","NA","PC04924-MSA1000_Diff"
"120","Scardovia","NA","PC04924-MSA1000_Diff"
"121","Sediminibacterium","NA","PC04924-MSA1000_Diff"
"122","Solobacterium","NA","PC04924-MSA1000_Diff"
"123","Sphingomonas","NA","PC04924-MSA1000_Diff"
"124","Stomatobaculum","NA","PC04924-MSA1000_Diff"
"125","Succiniclasticum","NA","PC04924-MSA1000_Diff"
"126","Sutterella","NA","PC04924-MSA1000_Diff"
"127","Synergistes","NA","PC04924-MSA1000_Diff"
"128","Thalassospira","NA","PC04924-MSA1000_Diff"
"129","Treponema","NA","PC04924-MSA1000_Diff"
"130","Turicibacter","NA","PC04924-MSA1000_Diff"
"131","uncultured","NA","PC04924-MSA1000_Diff"
"132","Veillonella","NA","PC04924-MSA1000_Diff"
"133","Weissella","NA","PC04924-MSA1000_Diff"
"134","Acinetobacter","NA","PC04924-MSA1001_Diff"
"135","Actinomyces","NA","PC04924-MSA1001_Diff"
"136","Alistipes","NA","PC04924-MSA1001_Diff"
"137","Anaerostipes","NA","PC04924-MSA1001_Diff"
"138","Bacteroides","NA","PC04924-MSA1001_Diff"
"139","Bifidobacterium","40.8502455693412","PC04924-MSA1001_Diff"
"140","Bilophila","NA","PC04924-MSA1001_Diff"
"141","Clostridium",NA,"PC04924-MSA1001_Diff"
"142","Lachnoclostridium","NA","PC04924-MSA1001_Diff"
"143","Collinsella","NA","PC04924-MSA1001_Diff"
"144","Coprobacillus","NA","PC04924-MSA1001_Diff"
"145","Cryptococcus","NA","PC04924-MSA1001_Diff"
"146","Deinococcus","-57.132533957157","PC04924-MSA1001_Diff"
"147","Enterococcus","NA","PC04924-MSA1001_Diff"
"148","Fusobacterium","NA","PC04924-MSA1001_Diff"
"149","Helicobacter","NA","PC04924-MSA1001_Diff"
"150","Listeria","NA","PC04924-MSA1001_Diff"
"151","Neisseria","NA","PC04924-MSA1001_Diff"
"152","Paenibacillus","NA","PC04924-MSA1001_Diff"
"153","Parabacteroides","NA","PC04924-MSA1001_Diff"
"154","Pediococcus","NA","PC04924-MSA1001_Diff"
"155","Porphyromonadaceae","NA","PC04924-MSA1001_Diff"
"156","Propionibacterium","NA","PC04924-MSA1001_Diff"
"157","Pseudomonas","NA","PC04924-MSA1001_Diff"
"158","Pyramidobacter","NA","PC04924-MSA1001_Diff"
"159","Ralstonia","NA","PC04924-MSA1001_Diff"
"160","Rhodobacter",NA,"PC04924-MSA1001_Diff"
"161","Saccharomyces","NA","PC04924-MSA1001_Diff"
"162","Salmonella","NA","PC04924-MSA1001_Diff"
"163","Streptococcus","NA","PC04924-MSA1001_Diff"
"164","Subdoligranulum","NA","PC04924-MSA1001_Diff"
"165","Abiotrophia","NA","PC04924-MSA1001_Diff"
"166","Acetanaerobacterium","NA","PC04924-MSA1001_Diff"
"167","Acidaminococcus","NA","PC04924-MSA1001_Diff"
"168","Actinobacillus","NA","PC04924-MSA1001_Diff"
"169","Adlercreutzia","NA","PC04924-MSA1001_Diff"
"170","Akkermansia","NA","PC04924-MSA1001_Diff"
"171","Alcaligenes","NA","PC04924-MSA1001_Diff"
"172","Alkanindiges","NA","PC04924-MSA1001_Diff"
"173","Alloprevotella","NA","PC04924-MSA1001_Diff"
"174","Anaerococcus","NA","PC04924-MSA1001_Diff"
"175","Anaerofilum","NA","PC04924-MSA1001_Diff"
"176","Anaerofustis","NA","PC04924-MSA1001_Diff"
"177","Anaeromyxobacter","NA","PC04924-MSA1001_Diff"
"178","Anaerosporobacter","NA","PC04924-MSA1001_Diff"
"179","Anaerotruncus","NA","PC04924-MSA1001_Diff"
"180","Arthrobacter","NA","PC04924-MSA1001_Diff"
"181","Atopobium","NA","PC04924-MSA1001_Diff"
"182","Azospirillum","NA","PC04924-MSA1001_Diff"
"183","Basidiomycota","NA","PC04924-MSA1001_Diff"
"184","Bergeyella","NA","PC04924-MSA1001_Diff"
"185","Blautia","NA","PC04924-MSA1001_Diff"
"186","Bradyrhizobium","NA","PC04924-MSA1001_Diff"
"187","Brevundimonas","NA","PC04924-MSA1001_Diff"
"188","Bryobacter","NA","PC04924-MSA1001_Diff"
"189","Butyricimonas","NA","PC04924-MSA1001_Diff"
"190","Campylobacter","NA","PC04924-MSA1001_Diff"
"191","Candidatus Planktophila","NA","PC04924-MSA1001_Diff"
"192","Capnocytophaga","NA","PC04924-MSA1001_Diff"
"193","Christensenella","NA","PC04924-MSA1001_Diff"
"194","Clostridium sensu stricto 1","NA","PC04924-MSA1001_Diff"
"195","Coprococcus","NA","PC04924-MSA1001_Diff"
"196","Corynebacterium","NA","PC04924-MSA1001_Diff"
"197","Desulfovibrio","NA","PC04924-MSA1001_Diff"
"198","Devosia","NA","PC04924-MSA1001_Diff"
"199","Dialister","NA","PC04924-MSA1001_Diff"
"200","Dolosigranulum","NA","PC04924-MSA1001_Diff"
"201","Dorea","NA","PC04924-MSA1001_Diff"
"202","Eggerthella","NA","PC04924-MSA1001_Diff"
"203","Eggerthia","NA","PC04924-MSA1001_Diff"
"204","Enterorhabdus","NA","PC04924-MSA1001_Diff"
"205","Faecalibacterium","NA","PC04924-MSA1001_Diff"
"206","Finegoldia","NA","PC04924-MSA1001_Diff"
"207","Flavonifractor","NA","PC04924-MSA1001_Diff"
"208","Gemella","NA","PC04924-MSA1001_Diff"
"209","Gordonibacter","NA","PC04924-MSA1001_Diff"
"210","Granulicatella","NA","PC04924-MSA1001_Diff"
"211","Haemophilus","NA","PC04924-MSA1001_Diff"
"212","Holdemania","NA","PC04924-MSA1001_Diff"
"213","Incertae Sedis","NA","PC04924-MSA1001_Diff"
"214","Intestinimonas","NA","PC04924-MSA1001_Diff"
"215","Lachnoanaerobaculum","NA","PC04924-MSA1001_Diff"
"216","Lachnospira","NA","PC04924-MSA1001_Diff"
"217","Lactococcus","NA","PC04924-MSA1001_Diff"
"218","Lautropia","NA","PC04924-MSA1001_Diff"
"219","Leptotrichia","NA","PC04924-MSA1001_Diff"
"220","Leuconostoc","NA","PC04924-MSA1001_Diff"
"221","Lysobacter","NA","PC04924-MSA1001_Diff"
"222","Marvinbryantia","NA","PC04924-MSA1001_Diff"
"223","Massilia","NA","PC04924-MSA1001_Diff"
"224","Megasphaera","NA","PC04924-MSA1001_Diff"
"225","Methylobacterium","NA","PC04924-MSA1001_Diff"
"226","Mogibacterium","NA","PC04924-MSA1001_Diff"
"227","Moraxella","NA","PC04924-MSA1001_Diff"
"228","Mycobacterium","NA","PC04924-MSA1001_Diff"
"229","Nevskia","NA","PC04924-MSA1001_Diff"
"230","Nocardioides","NA","PC04924-MSA1001_Diff"
"231","Nosocomiicoccus","NA","PC04924-MSA1001_Diff"
"232","Odoribacter","NA","PC04924-MSA1001_Diff"
"233","Oribacterium","NA","PC04924-MSA1001_Diff"
"234","Oscillibacter","NA","PC04924-MSA1001_Diff"
"235","Oscillospira","NA","PC04924-MSA1001_Diff"
"236","other","NA","PC04924-MSA1001_Diff"
"237","Papillibacter","NA","PC04924-MSA1001_Diff"
"238","Paracoccus","NA","PC04924-MSA1001_Diff"
"239","Parasutterella","NA","PC04924-MSA1001_Diff"
"240","Pedobacter","NA","PC04924-MSA1001_Diff"
"241","Peptoniphilus","NA","PC04924-MSA1001_Diff"
"242","Phascolarctobacterium","NA","PC04924-MSA1001_Diff"
"243","Phenylobacterium","NA","PC04924-MSA1001_Diff"
"244","Porphyromonas","NA","PC04924-MSA1001_Diff"
"245","Prevotella","NA","PC04924-MSA1001_Diff"
"246","Pseudobutyrivibrio","NA","PC04924-MSA1001_Diff"
"247","Rhizobium","NA","PC04924-MSA1001_Diff"
"248","Roseburia","NA","PC04924-MSA1001_Diff"
"249","Rothia","NA","PC04924-MSA1001_Diff"
"250","Rubellimicrobium","NA","PC04924-MSA1001_Diff"
"251","Ruminococcus","NA","PC04924-MSA1001_Diff"
"252","Salinarimonas","NA","PC04924-MSA1001_Diff"
"253","Scardovia","NA","PC04924-MSA1001_Diff"
"254","Sediminibacterium","NA","PC04924-MSA1001_Diff"
"255","Solobacterium","NA","PC04924-MSA1001_Diff"
"256","Sphingomonas","NA","PC04924-MSA1001_Diff"
"257","Stomatobaculum","NA","PC04924-MSA1001_Diff"
"258","Succiniclasticum","NA","PC04924-MSA1001_Diff"
"259","Sutterella","NA","PC04924-MSA1001_Diff"
"260","Synergistes","NA","PC04924-MSA1001_Diff"
"261","Thalassospira","NA","PC04924-MSA1001_Diff"
"262","Treponema","NA","PC04924-MSA1001_Diff"
"263","Turicibacter","NA","PC04924-MSA1001_Diff"
"264","uncultured","NA","PC04924-MSA1001_Diff"
"265","Veillonella","NA","PC04924-MSA1001_Diff"
"266","Weissella","NA","PC04924-MSA1001_Diff"
"267","Acinetobacter","93.3058658624644","PC04924-MSA1002_Diff"
"268","Actinomyces","-76.4898271248354","PC04924-MSA1002_Diff"
"269","Alistipes","NA","PC04924-MSA1002_Diff"
"270","Anaerostipes","NA","PC04924-MSA1002_Diff"
"271","Bacteroides","59.1343499129253","PC04924-MSA1002_Diff"
"272","Bifidobacterium","-36.0531792889606","PC04924-MSA1002_Diff"
"273","Bilophila","NA","PC04924-MSA1002_Diff"
"274","Clostridium",NA,"PC04924-MSA1002_Diff"
"275","Lachnoclostridium","NA","PC04924-MSA1002_Diff"
"276","Collinsella","NA","PC04924-MSA1002_Diff"
"277","Coprobacillus","NA","PC04924-MSA1002_Diff"
"278","Cryptococcus","NA","PC04924-MSA1002_Diff"
"279","Deinococcus","-80.2489062566368","PC04924-MSA1002_Diff"
"280","Enterococcus","-48.4347789151765","PC04924-MSA1002_Diff"
"281","Fusobacterium","NA","PC04924-MSA1002_Diff"
"282","Helicobacter","-36.8389754916536","PC04924-MSA1002_Diff"
