,Genus,value,Type
114,Phenylobacterium,NA,PC04924-MSA1000_Diff
115,Porphyromonas,NA,PC04924-MSA1000_Diff
116,Prevotella,NA,PC04924-MSA1000_Diff
117,Pseudobutyrivibrio,NA,PC04924-MSA1000_Diff
118,Rhizobium,NA,PC04924-MSA1000_Diff
119,Roseburia,NA,PC04924-MSA1000_Diff
120,Rothia,NA,PC04924-MSA1000_Diff
121,Rubellimicrobium,NA,PC04924-MSA1000_Diff
122,Ruminococcus,NA,PC04924-MSA1000_Diff
123,Salinarimonas,NA,PC04924-MSA1000_Diff
124,Scardovia,NA,PC04924-MSA1000_Diff
125,Sediminibacterium,NA,PC04924-MSA1000_Diff
126,Solobacterium,NA,PC04924-MSA1000_Diff
127,Sphingomonas,NA,PC04924-MSA1000_Diff
128,Stomatobaculum,NA,PC04924-MSA1000_Diff
129,Succiniclasticum,NA,PC04924-MSA1000_Diff
130,Sutterella,NA,PC04924-MSA1000_Diff
131,Synergistes,NA,PC04924-MSA1000_Diff
132,Thalassospira,NA,PC04924-MSA1000_Diff
133,Treponema,NA,PC04924-MSA1000_Diff
134,Turicibacter,NA,PC04924-MSA1000_Diff
135,uncultured,NA,PC04924-MSA1000_Diff
136,Veillonella,NA,PC04924-MSA1000_Diff
137,Weissella,NA,PC04924-MSA1000_Diff
138,Acinetobacter,NA,PC04924-MSA1001_Diff
139,Actinomyces,NA,PC04924-MSA1001_Diff
140,Alistipes,NA,PC04924-MSA1001_Diff
141,Anaerostipes,NA,PC04924-MSA1001_Diff
142,Bacillus,491.8881632,PC04924-MSA1001_Diff
143,Bacteroides,NA,PC04924-MSA1001_Diff
144,Bifidobacterium,40.85024557,PC04924-MSA1001_Diff
145,Bilophila,NA,PC04924-MSA1001_Diff
146,Clostridium,NA,PC04924-MSA1001_Diff
147,Lachnoclostridium,NA,PC04924-MSA1001_Diff
148,Collinsella,NA,PC04924-MSA1001_Diff
149,Coprobacillus,NA,PC04924-MSA1001_Diff
150,Cryptococcus,NA,PC04924-MSA1001_Diff
151,Deinococcus,-57.13253396,PC04924-MSA1001_Diff
152,Enterococcus,NA,PC04924-MSA1001_Diff
153,Escherichia-Shigella,80.9291392,PC04924-MSA1001_Diff
154,Fusobacterium,NA,PC04924-MSA1001_Diff
155,Helicobacter,NA,PC04924-MSA1001_Diff
156,Lactobacillus,23.02282318,PC04924-MSA1001_Diff
157,Listeria,NA,PC04924-MSA1001_Diff
158,Neisseria,NA,PC04924-MSA1001_Diff
159,Paenibacillus,NA,PC04924-MSA1001_Diff
160,Parabacteroides,NA,PC04924-MSA1001_Diff
161,Pediococcus,NA,PC04924-MSA1001_Diff
162,Porphyromonadaceae,NA,PC04924-MSA1001_Diff
163,Propionibacterium,NA,PC04924-MSA1001_Diff
164,Pseudomonas,NA,PC04924-MSA1001_Diff
165,Pyramidobacter,NA,PC04924-MSA1001_Diff
166,Ralstonia,NA,PC04924-MSA1001_Diff
167,Rhodobacter,NA,PC04924-MSA1001_Diff
168,Saccharomyces,NA,PC04924-MSA1001_Diff
