"","Genus","ValueQ","ValueN"
"Bacillus","Bacillus",24.6372505616667,47.1683667716667
"Enterococcus","Enterococcus",-9.90042582016667,-15.8002267251667
"Escherichia-Shigella","Escherichia-Shigella",-32.37056756,-49.1378373116667
"Lactobacillus","Lactobacillus",-35.8220792233333,-20.898647022
"Listeria","Listeria",40.0233671466667,26.522898295
"Pseudomonas","Pseudomonas",-100,-58.6085468616667
"Staphylococcus","Staphylococcus",75.3084312633333,71.6722948783333
