"","Genus","ValueQ","ValueN"
"Bacillus","Bacillus",24.8686013,48.9330737866667
"Enterococcus","Enterococcus",-16.1286558866667,-20.9664678466667
"Escherichia-Shigella","Escherichia-Shigella",-23.6020328566667,-41.73254719
"Lactobacillus","Lactobacillus",-46.7290820833333,-35.1563842933333
"Listeria","Listeria",41.7305021633333,28.2995192266667
"Pseudomonas","Pseudomonas",-100,-59.8458435433333
"Staphylococcus","Staphylococcus",77.6044396066667,74.1735083166667
