"","Domain","Kingdom","Phylum","Class","Order","Family","Genus","Species","Naming","Gram","Art.Col","MSA1000","MSA1001","MSA1002","MSA1003","Zymo.Ext","Zymo.Seq","Qiagen DSP Virus_OB","Zymo MagBead DNone Kit_OB","MagAttract PowerMag Soil_OB","MagAttract PowerMag Microbiome_OB","Qiagen QIAamp  Modified_OB","Qiagen DSP Virus_OB_AC","Qiagen DSP Virus_OB_ZE","Zymo MagBead DNone Kit_OB_AC","Zymo MagBead DNone Kit_OB_ZE","MagAttract PowerMag Soil_OB_AC","MagAttract PowerMag Soil_OB_ZE","MagAttract PowerMag Microbiome_OB_AC","MagAttract PowerMag Microbiome_OB_ZE","Qiagen QIAamp  Modified_OB_AC","Qiagen QIAamp  Modified_OB_ZE","Qiagen DSP-AC_Diff","Qiagen DSP-ZE_Diff","Zymo MagBead-AC_Diff","Zymo MagBead-ZE_Diff","MagAttract PS-AC_Diff","MagAttract PS-ZE_Diff","MagAttract MB-AC_Diff","MagAttract MB-ZE_Diff","Qiagen QIAmp-AC_Diff","Qiagen QIAMmp-ZE_Diff","Qiagen DSP Virus_OB","Zymo MagBead DNone Kit_OB","MagAttract PowerMag Soil_OB","MagAttract PowerMag Microbiome_OB","Qiagen QIAamp  Modified_OB","Qiagen DSP Virus_OB_AC","Qiagen DSP Virus_OB_ZE","Zymo MagBead DNone Kit_OB_AC","Zymo MagBead DNone Kit_OB_ZE","MagAttract PowerMag Soil_OB_AC","MagAttract PowerMag Soil_OB_ZE","MagAttract PowerMag Microbiome_OB_AC","MagAttract PowerMag Microbiome_OB_ZE","Qiagen QIAamp  Modified_OB_AC","Qiagen QIAamp  Modified_OB_ZE"
"Acinetobacter","Bacteria","Eubacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Acinetobacter baumannii","D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Pseudomonadales;D_4__Moraxellaceae;D_5__Acinetobacter","N",NA,NA,NA,0.05,0.0018,NA,NA,1.6545306840988e-06,3.73677415497523e-06,0,0,3.10814317972372e-06,0,2.66099342867673e-06,5.38351631905302e-06,2.86148577498192e-06,0,0,0,0,7.54264422478588e-06,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.27265342049401e-07,1.86838707748762e-06,0,0,1.55407158986186e-06,0,1.33049671433836e-06,2.69175815952651e-06,1.43074288749096e-06,0,0,0,0,3.77132211239294e-06,0
"Actinomyces","Bacteria","Eubacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces odontolyticus","D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Actinomycetales;D_4__Actinomycetaceae;D_5__Actinomyces","P",NA,NA,NA,0.05,2e-04,NA,NA,8.27265342049401e-07,1.12103224649257e-06,2.19152784555281e-06,6.75320143955744e-06,7.77035794930929e-07,0,1.33049671433836e-06,0,1.71689146498915e-06,0,3.48563222397278e-06,1.50607891100454e-05,0,1.88566105619647e-06,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.136326710247e-07,5.60516123246285e-07,1.0957639227764e-06,3.37660071977872e-06,3.88517897465465e-07,0,6.65248357169182e-07,0,8.58445732494575e-07,0,1.74281611198639e-06,7.53039455502271e-06,0,9.42830528098235e-07,0
"Alistipes","Bacteria","Eubacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes shahii","D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Rikenellaceae;D_5__Alistipes","N",0.04,NA,NA,NA,NA,NA,NA,0.00169837574722742,0.00371472718746088,0.00279858105877093,0.00336928475155253,0.00400639655866387,0.00438098612651273,6.65248357169182e-05,0.00952128696187717,0.000628382276186029,0.00705386516394088,0.000285821842365768,0.00741743863669737,7.85582820834065e-05,0.00947733246844346,0.000171815855695828,"-89.0475346837182","NA","-76.1967825953071","NA","-82.3653370901478","NA","-81.4564034082566","NA","-76.3066688288913","NA",0.00084918787361371,0.00185736359373044,0.00139929052938547,0.00168464237577627,0.00200319827933194,0.00219049306325637,3.32624178584591e-05,0.00476064348093858,0.000314191138093014,0.00352693258197044,0.000142910921182884,0.00370871931834868,3.92791410417032e-05,0.00473866623422173,8.59079278479139e-05
"Anaerostipes","Bacteria","Eubacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Anaerostipes","Anaerostipes hadrus","D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Lachnospiraceae;D_5__Anaerostipes","P",0.06,NA,NA,NA,NA,NA,NA,0.00628059847683905,0.00419639737603719,0.00645989357940782,0.00422412750044318,0.00628621958099122,0.0165834432407486,1.33049671433836e-05,0.0118512728247633,0.000127622265564193,0.0173680523855247,1.85900385278548e-05,0.00937910641828079,3.36678351786028e-05,0.0151889998076626,4.62581149950306e-05,"-72.3609279320856","NA","-80.2478786253945","NA","-71.0532460241255","NA","-84.368155969532","NA","-74.6850003205624","NA",0.00314029923841953,0.00209819868801859,0.00322994678970391,0.00211206375022159,0.00314310979049561,0.00829172162037432,6.65248357169182e-06,0.00592563641238166,6.38111327820967e-05,0.00868402619276236,9.29501926392742e-06,0.00468955320914039,1.68339175893014e-05,0.00759449990383129,2.31290574975153e-05
"Bacillus","Bacteria","Eubacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus cereus; Bacillus subtilis","D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Bacillales;D_4__Bacillaceae;D_5__Bacillus","P",NA,0.1,0.0448,0.05,0.018,0.157,0.135,0.0871242767632747,0.0977693326681875,0.0466349820440819,0.115493813786098,0.0825779250346946,5.46803061222258e-05,0.140089329549401,0.00412162009386699,0.147545646421083,6.88661870956571e-05,0.0741324261394532,0.00411787075583825,0.206030827494174,0.000182909122451058,0.140328617648925,"NA","-10.771127675541","NA","-6.021881260457","NA","-52.7818941786922","NA","31.2298264294105","NA","-10.6187148732964",0.0435621383816374,0.0488846663340938,0.0233174910220409,0.057746906893049,0.0412889625173473,2.73401530611129e-05,0.0700446647747003,0.0020608100469335,0.0737728232105413,3.44330935478285e-05,0.0370662130697266,0.00205893537791913,0.103015413747087,9.14545612255288e-05,0.0701643088244624
"Bacteroides","Bacteria","Eubacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides caccae; Bacteroides vulgatus","D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Bacteroidaceae;D_5__Bacteroides","N",0.06,NA,NA,0.05,2e-04,NA,NA,0.0312201667436023,0.0329437746276772,0.0323454899817957,0.0238568096188099,0.0391789218162124,0.0820598290037467,0.000294039773868778,0.0914745558868213,0.00183306778745342,0.0857639818035858,0.00080169541151374,0.0528859609599245,0.000259140307132276,0.0942283686391938,0.00059474719279325,"36.7663816729112","NA","52.4575931447021","NA","42.939969672643","NA","-11.8567317334592","NA","57.0472810653231","NA",0.0156100833718012,0.0164718873138386,0.0161727449908979,0.011928404809405,0.0195894609081062,0.0410299145018733,0.000147019886934389,0.0457372779434106,0.000916533893726708,0.0428819909017929,0.00040084770575687,0.0264429804799622,0.000129570153566138,0.0471141843195969,0.000297373596396625
"Bifidobacterium","Bacteria","Eubacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium adolescentis; Bifidobacterium angulatum","D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Bifidobacteriales;D_4__Bifidobacteriaceae;D_5__Bifidobacterium","P",0.06,0.1,4e-04,0.05,2e-04,NA,NA,0.00630955276381078,0.00424534911746736,0.00201036154365377,0.0100932223182052,0.00602591258968936,0.0166687445182993,7.98298028603018e-06,0.0122184286377227,7.43986301495298e-06,0.00540501188433629,5.80938703995464e-06,0.0225096043907221,0,0.0146157588465788,5.28664171371778e-06,"-72.2187591361678","NA","-79.6359522704621","NA","-90.9916468594395","NA","-62.4839926821299","NA","-75.6404019223686","NA",0.00315477638190539,0.00212267455873368,0.00100518077182689,0.00504661115910261,0.00301295629484468,0.00833437225914966,3.99149014301509e-06,0.00610921431886136,3.71993150747649e-06,0.00270250594216814,2.90469351997732e-06,0.011254802195361,0,0.00730787942328942,2.64332085685889e-06
"Bilophila","Bacteria","Eubacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Bilophila","Bilophila wadsworthia","D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Desulfovibrionales;D_4__Desulfovibrionaceae;D_5__Bilophila","N",0.02,NA,NA,NA,NA,NA,NA,0.00821639937723465,0.0091894750019151,0.0136108489394466,0.0157180763505699,0.01333160313363,0.021701519893789,1.33049671433836e-05,0.0264158378743293,3.31932349897902e-05,0.0366230382974704,2.20756707518276e-05,0.0350426910617982,9.18213686689166e-06,0.0323183448421513,2.378988771173e-05,"8.50759946894486","NA","32.0791893716467","NA","83.1151914873522","NA","75.2134553089909","NA","61.5917242107566","NA",0.00410819968861733,0.00459473750095755,0.00680542446972331,0.00785903817528497,0.00666580156681498,0.0108507599468945,6.65248357169182e-06,0.0132079189371647,1.65966174948951e-05,0.0183115191487352,1.10378353759138e-05,0.0175213455308991,4.59106843344583e-06,0.0161591724210757,1.1894943855865e-05
"Clostridium","Bacteria","Eubacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium","Clostridium beijerinckii","D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Clostridiaceae;D_5__Clostridium","P",NA,0.1,0.0045,0.05,0.018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lachnoclostridium","Bacteria","Eubacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnoclostridium","Clostridium bolteae","D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Lachnospiraceae;D_5__Lachnoclostridium","P",0.06,NA,NA,NA,NA,NA,NA,0.0340924320111979,0.0380257874784435,0.0302102113509454,0.0226941334376328,0.0405791403186779,0.0900672130322854,4.25758948588276e-05,0.109226162597267,0.000180845900978857,0.0812699711942577,5.92557478075373e-05,0.0505728747657734,3.16273603192935e-05,0.0983994508955004,5.28664171371778e-05,"50.1120217204758","NA","82.0436043287778","NA","35.4499519904296","NA","-15.7118753903777","NA","63.9990848258341","NA",0.0170462160055989,0.0190128937392217,0.0151051056754727,0.0113470667188164,0.020289570159339,0.0450336065161427,2.12879474294138e-05,0.0546130812986333,9.04229504894285e-05,0.0406349855971289,2.96278739037687e-05,0.0252864373828867,1.58136801596468e-05,0.0491997254477502,2.64332085685889e-05
