"","SC249358.PC04924.A01","SC249363.PC04924.F01","SC249383.PC04924.E02","SC249388.PC04924.A03","SC249397.PC04924.B04","SC249400.PC04924.E04","SC249409.PC04924.D05","SC249413.PC04924.H05","SC249427.PC04924.E07","SC249428.PC04924.F07","SC249434.PC04924.C08","SC249439.PC04924.H08","SC249443.PC04924.D09","SC249446.PC04924.F09","SC253848.PC04924.C11","SC253851.PC04924.E11","SC253185.PC04925.C06","SC253192.PC04925.B07","SC253195.PC04925.E07","SC253204.PC04925.A09","SC249439.PC07578.G07","SC249443.PC07578.E05","SC253195.PC07578.E07","SC304093.PC07578.A04","SC304926.PC07578.E06","SC304936.PC07578.B11","SC284724.PC04924.A12","SC284730.PC04925.A12","SC284725.PC04924.B12","SC284731.PC04925.B12","SC326764.PC07578.B12","SC284726.PC04924.C12","SC284732.PC04925.C12","SC326765.PC07578.C12","SC284727.PC04924.D12","SC284733.PC04925.D12","SC326766.PC07578.D12","SC249362.PC04924.E01","SC284728.PC04924.E12","SC284734.PC04925.E12","SC326767.PC07578.E12","SC284729.PC04924.F12","SC284735.PC04925.F12","SC326768.PC07578.F12","SC249368.PC04924.B02","SC249390.PC04924.C03","SC249391.PC04924.D03","SC249395.PC04924.H03","SC249404.PC04924.H04","SC249408.PC04924.C05","SC249412.PC04924.G05","SC249420.PC04924.G06","SC249425.PC04924.C07","SC249432.PC04924.A08","SC249437.PC04924.F08","SC249442.PC04924.C09","SC249451.PC04924.C10","SC253844.PC04924.G10","SC253854.PC04924.H11","SC249391.PC04925.H01","SC249408.PC04925.E02","SC249432.PC04925.B04","SC249437.PC04925.F04","SC253181.PC04925.G05","SC253189.PC04925.F06","SC253194.PC04925.D07","SC253196.PC04925.F07","SC261522.PC04925.F11","SC249362.PC07578.H08","SC249368.PC07578.C10","SC249408.PC07578.E02","SC249420.PC07578.H07","SC249437.PC07578.F04","SC249451.PC07578.F06","SC253181.PC07578.G05","SC253196.PC07578.F07","SC304092.PC07578.A03","SC304097.PC07578.A09","SC304924.PC07578.A.11.PC07578.A11","SC304924.PC07578.B.07.PC07578.B07","SC304927.PC07578.B02","SC304934.PC07578.C.05.PC07578.C05","SC304934.PC07578.D.02.PC07578.D02","SC304937.PC07578.D04"
"Erysipelotrichales",0.0467237935700019,0.0385954221028042,0.0319236038489911,0.0435956080163341,0.0235144347254733,0.0295298099133598,0.025612488685097,0.0327010169710059,0.0316237136496164,0.0336187636042843,0.0178451648965903,0.015687093244255,0.0157797250124671,0.0143851830013787,0.0385299130230371,0.0403586117110986,0.0415523620164599,0.030214826644686,0.028254770652561,0.0284897401513043,0.0198832206515058,0.0149938682483244,0.0285218731932935,0.0486091352782824,0.0298765526272296,0.0304351124506024,2.14273470087424e-05,2.02116837006245e-05,2.54123148077558e-05,2.69878824407841e-05,0,0,1.56951376463572e-05,6.47588703462657e-06,8.02239853671451e-06,2.20207729291298e-05,1.34708255595444e-05,1.90141179826021e-05,8.03296729779013e-06,8.86713485138682e-06,1.42358886753506e-05,2.47774162110375e-05,4.18718386761799e-05,6.9721393312324e-06,9.82781665225254e-06,4.18414418560864e-05,0.000116892809293878,8.96882924164472e-05,1.78544328093057e-05,1.74471351804034e-05,4.25064645248131e-05,2.80770715614361e-05,1.65505370649278e-05,2.74298253634452e-05,1.87785198770633e-05,4.1923799302388e-05,5.8804504425039e-05,7.01572223352533e-06,0,0.000107053773110233,7.136570164379e-05,1.9125944343502e-05,1.00348208282741e-05,2.22882615156018e-05,0,4.69281608071644e-05,8.34863917181499e-05,0.000220042035616459,8.00807213671381e-06,1.48592825938364e-05,1.83309655836121e-05,2.01259886891944e-05,0,4.73341411693426e-05,2.15208034433286e-05,1.48894828138145e-05,0.000194569878961321,6.07930452756205e-05,0.000117232485811421,0.000112376194635569,1.70028989942785e-05,0.0002042602859644,0.000125271795055343,2.50079191744052e-05
"Clostridiales",0.180606919657239,0.097171823495194,0.180443752685296,0.140645127369279,0.182177323313211,0.24036712736649,0.126281737375536,0.100899318258739,0.10660941129438,0.099974109908234,0.0887716601453326,0.266428612566953,0.189997862791195,0.414621034103029,0.0857942524682652,0.124604254815516,0.127643688285976,0.132905740731201,0.145972848320609,0.171444475368773,0.279778733866011,0.191356929650683,0.167205555912436,0.126874001444486,0.113581753690072,0.1281681689966,0.206416776184218,0.199408471390362,0.0236334527712129,0.0249188114536573,0.0251512872847066,0.163638916187,0.173062435257557,0.166792946463842,0.0616280655590408,0.0934488200535839,0.0735170304912137,0.000646480011408471,0.000457879135974037,0.00121479747463999,0.000398604882909816,0.000512066601694775,0.00323250594580109,0.000397411941880247,0.000343973582828839,0.00504189374365841,0.00623128591081978,0.00506331178096488,0.00107126596855834,0.000610649731314118,0.00568169742481669,0.000673849717474467,0.000488240843415369,0.00293499131388863,0.000488241516803646,0.00311074590823719,0.00220516891593896,0.0010804212239629,0.000606982390533865,0.00671227157401163,0.00223612531817209,0.00299321028975806,0.00105365618696878,0.000832095096582467,0.000988543487087151,0.00323804309569434,0.00755088031761934,0.028195731184509,0.00103304130563608,0.00129275758566376,0.000769900554511709,0.0017777956675455,0.000835751122828236,0.00492275068161163,0.00309182209469154,0.0029853413041698,0.0117147281291295,0.00598811495964862,0.0123714752673935,0.0119680647286881,0.00154726380847935,0.0121680770353078,0.0114265773061195,0.00181724212667345
"Verrucomicrobiales",0.000914889504542233,0.000175433736830928,0.0067365451494443,0.000858767755899647,0.00923986694591598,0.00455072174600373,0.000200329430619241,0.000177284961400229,6.20343118671639e-05,0.000153422766020693,0.000405254332029067,0.0133689454587341,0.00217282895205528,0.0161627372601386,5.87682181476258e-05,3.6985531260171e-05,0.000209733303131738,0.00162279120086549,0.00125943490458695,0.00255547402778129,0.011739397664413,0.00282291963934502,0.0260237111268138,0.00127669198164482,0.000705595179068614,0.00151727277116078,8.57093880349694e-05,8.08467348024982e-05,3.38830864103411e-05,0.000107951529763136,5.01306978909299e-05,0.000119331742243437,0.000172646514109929,5.18070962770125e-05,0.000104291180977289,0.000183506441076082,0.000107766604476355,9.50705899130104e-05,8.83626402756914e-05,9.7538483365255e-05,4.9825610363727e-05,8.2591387370125e-05,0.000318225973938968,4.88049753186268e-05,5.89668999135152e-05,0.000418414418560864,0.0003596701824427,0.000962110773194615,7.14177312372229e-05,7.85121083118152e-05,0.000708441075413552,7.72119467939494e-05,6.6202148259711e-05,0.000201152052665265,0.000106411612636692,0.000150925677488597,0.000147011261062597,9.82201112693546e-05,0.000146512990818519,0.000653028015972423,0.000154625686894878,0.000219948359950273,0.000120417849939289,0.00012630014858841,0.000150046779290014,0.000328497125650151,0.000890521511660266,0.00227629692017027,8.00807213671381e-05,0.000141163184641446,0.000219971587003345,0.00122768531004086,0.000149483940668465,0.000350272644653135,0.000172166427546628,0.000677471468028558,0.000381032679632587,0.000433150447588796,0.000331009371702836,0.000429072743153991,5.10086969828356e-05,0.000496060694484972,0.000510035165582469,0.000125039595872026
"Enterobacteriales",0.100959989691386,0.103035003647175,0.122068467942638,0.15546325262669,0.115149275183771,0.111918593496996,0.132373235988069,0.12538881815398,0.122683190769294,0.113389013012168,0.0884083286752376,0.076894833842078,0.0916862577473819,0.0756544434520971,0.0755171603196991,0.114270497381424,0.15083180228022,0.119227929181049,0.104246467067949,0.10727930572072,0.0694299323909035,0.0826745235358997,0.0807120475650057,0.110284301065855,0.11220234689856,0.0998020648703077,0.0834380892520427,0.0848284364915212,0.0857411501613682,0.0889880443680787,0.0877000751960468,0.0412747437877299,0.039857802052924,0.0419378444362417,0.149272769572647,0.144485631445664,0.146845469424594,0.415391928506916,0.192349401945585,0.194633609987941,0.190191472702683,0.15904623465865,0.156173583894416,0.158623141924868,0.481287837094111,0.473613740729506,0.459083020869862,0.54841129420206,0.538873563834061,0.465131900341964,0.420417271793419,0.482420243568596,0.462587510964731,0.233912407424339,0.191910213636961,0.239083042661658,0.253373908441387,0.502248538975845,0.413208494962744,0.47410904497329,0.479161215120013,0.216936023716171,0.237925601838379,0.350549777117385,0.316519267771717,0.279785694732314,0.295551102947997,0.342430933357614,0.347486266156286,0.439545008766977,0.458008340589341,0.417896029142432,0.223566822718841,0.206234853074826,0.309469153515065,0.2766763696463,0.417790172599697,0.432504521482742,0.373392363337954,0.292867687246834,0.343943142305763,0.320798074117304,0.351163685496211,0.330371284240009
"Gossypium arboreum",0,0,6.48524202112568e-05,0,8.21321506303643e-06,0.000460444021518084,0,0,0,0,6.98714365567356e-06,0,7.12402935100093e-06,0,0,0,0,0,8.68575796266861e-06,0,0,0,0,0,0,1.37933888287344e-05,0,0,0,0,0,7.01951424961393e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.15348112876793e-06,0,0,0,0,0,9.1432751211484e-06,0,0,0,0,0,1.07053773110233e-05,0,0,0,0,0,0,0,0.000288330943221567,8.00807213671381e-06,1.48592825938364e-05,0,0,0,0,0,0,2.43212348701651e-05,0,0,0,0,0,0,0
"Burkholderiales",0.0280780877520778,0.0456497049943215,0.0323613576854171,0.0330713215384211,0.0252967023941522,0.0248639771619765,0.0959800560922406,0.0899721179106161,0.094050909491939,0.0920153039209106,0.076732811626607,0.062057248171399,0.0625418536724371,0.0477771900769117,0.0278414433474377,0.0496493771636536,0.123155395598956,0.107378977555681,0.0871789526713049,0.0831414619335577,0.066879225568531,0.0620656675896431,0.0709478026880224,0.0238850831308865,0.0451199511804417,0.0453802492465361,7.14244900291412e-06,0,0,8.9959608135947e-06,0,1.40390284992279e-05,7.84756882317858e-06,0,2.40671956101435e-05,2.20207729291298e-05,6.73541277977221e-06,2.85211769739031e-05,1.60659345955803e-05,1.77342697027736e-05,7.11794433767528e-06,8.2591387370125e-06,1.6748735470472e-05,0,1.96556333045051e-05,4.18414418560864e-05,2.69752636832025e-05,2.44604433863038e-05,8.92721640465287e-06,8.72356759020169e-06,4.25064645248131e-05,1.40385357807181e-05,8.27526853246388e-06,2.74298253634452e-05,0,1.67695197209552e-05,3.67528152656494e-05,1.40314444670507e-05,6.97680908659615e-06,3.211613193307e-05,2.37885672145967e-05,2.86889165152529e-05,0,0,1.76525622694134e-05,7.82136013452739e-06,1.85525314929222e-05,5.31135948039729e-05,1.60161442734276e-05,1.48592825938364e-05,0,0,6.79472457583932e-06,0,0,1.48894828138145e-05,2.43212348701651e-05,0,4.13761714628545e-05,1.02160176941426e-05,0,0,1.78959707221919e-05,8.33597305813508e-06
"Campylobacterales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14244900291412e-06,0,0,0,0,0.0312438579250316,0.0311156103839031,0.0312008237328308,0.000930598230258883,0.000917532205380409,0.000929486963608565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.97680908659615e-06,0,1.18942836072983e-05,0,1.00348208282741e-05,0,0,0,0,0,0,0,9.16548279180606e-06,0,0,0,0,0,0,0,0,0,0,0,0,0
"Neisseriales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2953827522561e-06,0,0,0,0,0,0,0,0.0259722027235715,0.0277254606522899,0.0309353123644111,0.000681903875620733,0.0007633867948765,0.000835191184691754,0,0,8.86713485138682e-06,0,0,0,0,0,0,8.9917545610675e-06,0,0,1.74471351804034e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.00807213671381e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinomycetales",0,0,0,0,0,0,0,0,0,0,0,0,7.12402935100093e-06,6.06969746893616e-05,0,0,0,0,8.68575796266861e-06,0,0,3.08515807578691e-05,0,0,0,0,0,0,0,0,0,0.0128597501052927,0.0130897447970619,0.0146031252630829,4.01119926835725e-05,5.87220611443462e-05,5.38833022381777e-05,0,0,0,0,0,0,0,0,0,0,8.15348112876793e-06,0,8.72356759020169e-06,1.4168821508271e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.42964129691818e-06,0,0,0,0,0,0,0,0,1.37920571542848e-05,0,0,0,0,0
"Coriobacteriales",0.000451001868436312,0.000369334182801954,0.000543139019269275,0.000438146814234514,0.000542072194160404,0.000629273496074715,0.00169167074745136,0.000991184102374007,0.000647913923945934,0.000930125519000451,0.010851034097261,0.0131673673904279,0.0261594357768754,0.0247643656732595,0.000396685472496474,0.000488209012634257,0.0014849117861727,0.00234403173458348,0.00469899505780372,0.00389646534929029,0.0137753534111862,0.0248123838245162,0.00421832508939851,0.000379359903117317,0.00223756309037975,0.0021241818796251,7.14244900291412e-06,0,0,8.9959608135947e-06,7.16152827013285e-06,0,1.56951376463572e-05,0,0,7.34025764304327e-06,0,0,1.60659345955803e-05,1.77342697027736e-05,7.11794433767528e-06,0,4.18718386761799e-05,0,0,0,0,1.63069622575359e-05,0,8.72356759020169e-06,7.08441075413552e-05,7.01926789035904e-06,8.27526853246388e-06,9.1432751211484e-06,6.25950662568776e-06,4.1923799302388e-05,2.94022522125195e-05,7.01572223352533e-06,0,1.07053773110233e-05,0,9.56297217175098e-06,1.00348208282741e-05,7.42942050520059e-06,8.8262811347067e-06,7.82136013452739e-06,0.000120591454703994,0.000174516097213054,1.60161442734276e-05,0,0,6.70866289639812e-06,0,7.57346258709482e-05,0,1.48894828138145e-05,5.67495480303853e-05,4.55947839567154e-05,0.000110336457234279,0.000148132256565068,3.4005797988557e-05,0.000109425153195214,5.36879121665757e-05,0
